nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
4356.133105,0.00026,1.7675,3.547772912285617e-30,4638.348631,31,29,15,14, A1,0,1,1,7,8, A2,0,1,0,5,9
4356.203683,7.9e-05,0.00099282,2.625827327762935e-27,1695.067603,25,23,12,11, A1,1,0,0,6,6, A2,0,0,0,3,9
4356.221844,4.7e-05,0.12536,5.948776958827672e-24,1327.109608,75,69,12,11, B2,0,0,1,2,10, B1,0,0,0,0,11
4356.24013,6.7e-05,0.043191,1.9207308868103183e-27,2705.138984,57,63,9,10, B1,0,4,0,0,9, B2,0,1,0,1,10
4356.391263,7.8e-05,4.3637e-07,1.8035173805471598e-29,1050.157545,17,17,8,8, A1,1,0,0,8,0, A2,0,0,0,3,5
4356.789985,0.000254,0.0099482,5.81882799710913e-29,2983.395126,29,29,14,14, A1,0,0,1,9,6, A2,0,0,0,5,9
4356.931629,2.7e-05,0.0033428,2.140565004688621e-25,982.911525,19,17,9,8, A2,0,0,1,6,3, A1,0,0,0,2,6
4357.023241,9.5e-05,0.54606,1.8711106845267923e-26,2872.273105,99,93,16,15, B2,1,0,0,5,12, B1,0,0,0,2,13
4357.082537,0.000481,0.00047498,3.452479699187443e-30,2952.386242,31,33,15,16, A1,0,0,1,7,8, A2,0,0,0,1,15
4357.412306,7.7e-05,0.12598,1.99157728524922e-24,1327.116502,25,23,12,11, A1,0,0,1,3,10, A2,0,0,0,1,11
4357.656343,5e-05,0.0019249,1.3608346006176072e-30,3478.986318,39,33,6,5, B2,1,0,1,2,4, B1,0,2,0,0,5
4357.86788,6.1e-05,0.0026527,3.1419223364743605e-27,1843.028746,23,23,11,11, A2,0,0,1,8,3, A1,0,0,0,4,8
4358.012365,0.000146,0.12295,3.348219034161689e-30,4087.977666,29,27,14,13, A2,0,2,0,13,1, A1,0,0,0,12,2
4358.012365,0.000146,0.12295,1.0044657200133844e-29,4087.977664,87,81,14,13, B2,0,2,0,13,2, B1,0,0,0,12,1
4358.027823,7.7e-05,0.34838,6.754370021724836e-25,1774.615197,27,25,13,12, A1,0,0,1,3,10, A2,0,0,0,1,11
4358.12313,6.4e-05,8.1666e-07,3.5165916705157176e-30,1538.148739,19,21,9,10, A1,0,0,1,9,0, A2,0,0,0,3,7
4358.325568,0.0001,0.04386,6.496739644971292e-28,2705.096092,19,21,9,10, A2,0,4,0,1,9, A1,0,1,0,0,10
4358.487168,5.5e-05,1.1065e-05,9.244775107529131e-30,1875.461271,19,21,9,10, A2,0,1,1,0,9, A1,0,0,0,6,4
4358.584459,7.4e-05,0.00013463,2.7480551111312586e-30,2904.427809,69,63,11,10, B2,1,1,0,5,6, B1,0,1,0,2,9
4358.66121,5.3e-05,0.000288,2.59409139836056e-30,3072.725913,69,63,11,10, B1,1,1,0,6,5, B2,0,1,0,3,8
4359.103106,7e-05,7.1365e-06,3.2625688311477315e-28,1255.166516,51,51,8,8, B1,0,3,0,2,7, B2,0,0,0,5,4
4359.279358,0.000117,5.7e-07,2.1254101705324755e-29,1114.531282,21,21,10,10, A2,0,2,0,7,3, A1,0,0,0,0,10
4359.310182,0.000277,0.023517,2.8677351732698317e-27,2358.300366,29,31,14,15, A1,0,3,0,0,14, A2,0,0,0,1,15
4359.360544,0.000127,0.023515,8.602308760278611e-27,2358.299561,87,93,14,15, B2,0,3,0,1,14, B1,0,0,0,0,15
4359.715456,5.5e-05,0.87828,1.3669422736381075e-28,3940.51875,81,75,13,12, B1,0,1,1,7,7, B2,0,1,0,5,8
4359.897098,5.5e-05,0.002068,1.38168896080694e-28,2282.58948,11,13,5,6, A1,0,4,0,2,4, A2,0,1,0,3,3
4359.933602,0.000122,0.89912,3.6146227512087786e-26,2586.528703,29,27,14,13, A1,0,0,1,7,8, A2,0,0,0,5,9
4360.208397,8.6e-05,0.0038904,2.915062448128359e-30,3391.129023,27,27,13,13, A1,0,1,1,3,10, A2,0,1,0,1,13
4360.328676,0.000189,1.5158e-05,7.796396686150594e-29,1557.84357,25,25,12,12, A2,1,0,0,5,7, A1,0,0,0,0,12
4360.652037,0.000467,0.0018729,1.659326140139471e-30,3647.457779,111,111,18,18, B2,1,0,0,5,14, B1,0,0,0,2,17
4360.946206,0.000123,2.3651,2.4164053756799056e-30,5015.702698,99,93,16,15, B1,0,1,1,7,9, B2,0,1,0,5,10
4361.426062,0.000133,2.9364e-05,7.935318011564997e-29,1899.007489,69,69,11,11, B2,0,3,0,1,10, B1,0,0,0,4,7
4361.60807,9.8e-05,0.0247,2.484589906597768e-30,3752.415819,21,19,10,9, A2,0,1,1,10,1, A1,0,1,0,8,2
4361.608368,9.8e-05,0.0247,7.45377949803869e-30,3752.415521,63,57,10,9, B2,0,1,1,10,0, B1,0,1,0,8,1
4361.950663,5.2e-05,1.9567e-05,2.7051243060157334e-30,2471.254532,57,63,9,10, B1,0,1,1,5,5, B2,0,0,0,9,2
4362.345468,0.000447,0.98825,7.662761976569017e-28,3437.275042,35,33,17,16, A1,1,0,0,6,12, A2,0,0,0,3,13
4362.53028,2.9e-05,0.0018858,1.5481363011225776e-29,3072.725913,63,63,10,10, B1,0,1,1,7,3, B2,0,1,0,3,8
4362.552527,8.9e-05,0.54107,4.1738685376670916e-26,2437.501041,27,25,13,12, A2,0,0,1,8,5, A1,0,0,0,6,6
4362.70497,7.6e-05,2.8374e-05,7.864005129981266e-29,1874.972643,63,63,10,10, B2,0,3,0,3,8, B1,0,0,0,6,5
4362.84485,0.000126,1.8799e-06,7.746658531352576e-29,1050.157545,17,17,8,8, A1,0,3,0,0,8, A2,0,0,0,3,5
