# Wavelength(nm) Rp/Rs Rp_err_low Rp_err_high
2.057467512903806892e+03 1.455429775993226926e-01 7.248457937333999731e-04 7.746724835213000511e-04
2.061401169030915753e+03 1.457997106648183938e-01 7.543992003486999767e-04 8.045992850322999804e-04
2.065334834818334002e+03 1.452740162535023083e-01 8.005481051853000247e-04 8.684079762335000395e-04
2.069268510806145059e+03 1.459000657483520980e-01 7.632366989636000338e-04 7.327079693300999957e-04
2.073202197618326409e+03 1.453772159584311996e-01 7.869591004937000027e-04 8.583140272248999557e-04
2.077135895959030222e+03 1.465961477817717129e-01 7.730023901371999538e-04 8.197667042947999819e-04
2.081069606612581083e+03 1.444106114356127069e-01 9.269970542661999744e-04 8.743024945935999950e-04
2.085003330443475988e+03 1.443596119132080080e-01 8.163333333356000403e-04 7.939552429251999725e-04
2.088937068396388440e+03 1.455262240789237937e-01 7.972384779017999742e-04 8.085820152082000061e-04
2.092870821496166627e+03 1.445800305484165882e-01 8.280714392760000087e-04 8.522209568076000510e-04
2.096804590847832969e+03 1.455864953880454948e-01 8.246342189685999585e-04 7.957302704980000023e-04
2.100738377636585028e+03 1.464550877355361991e-01 8.425643113834000407e-04 8.679231403745000465e-04
2.104672183127800054e+03 1.448869480641863106e-01 8.670720209093999526e-04 8.420619035384999465e-04
2.108606008667029528e+03 1.437144918077485067e-01 9.381888104263999897e-04 9.002676392924999649e-04
2.112539855684352460e+03 1.460187322319199121e-01 8.963570102601999944e-04 9.067609923549000209e-04
2.116473725773097613e+03 1.446095208962981937e-01 8.130987000678999719e-04 8.247384382751999764e-04
2.120407620543587655e+03 1.444663840937918109e-01 8.853847238141000385e-04 8.739057090584999733e-04
2.124341541589966255e+03 1.442748450291782003e-01 8.298766777998999814e-04 8.324065900491999827e-04
2.128275490646408343e+03 1.465388470007603916e-01 8.382571082084000523e-04 7.907106225321000039e-04
2.132209469541549879e+03 1.438209557039492048e-01 8.677902018798999608e-04 8.302394706714000521e-04
2.136143480184206965e+03 1.443996397368688123e-01 7.798310625486000154e-04 8.514370939813999464e-04
2.140077524563379939e+03 1.457938296015555968e-01 9.172792600490999948e-04 9.236219378717000191e-04
2.144011604748252921e+03 1.454255675262229874e-01 9.422782270523999458e-04 8.534282447590999660e-04
2.147945722888196087e+03 1.441537609688512134e-01 1.018852822324599902e-03 9.027390424748999581e-04
2.151879881212764758e+03 1.447806257780804018e-01 8.669022453956000147e-04 8.360473917457000338e-04
2.155814082031705311e+03 1.438815958878658097e-01 9.207088142918000125e-04 8.548537493981000351e-04
2.159748327734953818e+03 1.452907687746426979e-01 8.676845032073000159e-04 8.482925778037000162e-04
2.163682620792640137e+03 1.452293867730443111e-01 9.279163786037999875e-04 8.989420344703999638e-04
2.167616963755088818e+03 1.447490178287479112e-01 9.167766094669000223e-04 8.850811900762000240e-04
2.171551359255633997e+03 1.454708899272307010e-01 9.166929758285999839e-04 8.665685900646000065e-04
2.175485810177453004e+03 1.444219560025908899e-01 1.037498132035399954e-03 9.280449927099999712e-04
2.179420319401742290e+03 1.428732356013580895e-01 9.415300912549000052e-04 9.694582126328000126e-04
