# Line list of the E ^4^{Pi} - A ^4^{Pi} transition of FeH, 
# Table 5 of Hargreaves et al., 2010, AJ, 140, 919
wavenumber,intensity,e_lower,einsteinA,j_lower,branch,omega
6258.6274414,4.497499e-20,2250.0,,,,
6258.574707,6.885501999999999e-20,2250.0,,,,
6258.3618164,8.983648e-20,2250.0,,,,
6258.2680664,3.3301889999999997e-19,2250.0,,,,
6258.1630859,1.3196869999999998e-19,2250.0,,,,
6257.9702148,6.238532999999999e-20,2250.0,,,,
6257.8500977,3.951172e-20,2250.0,,,,
6257.6323242,8.233639e-20,2250.0,,,,
6257.5029297,7.418741e-20,2250.0,,,,
6257.4140625,2.4538089999999996e-19,2250.0,,,,
6257.2885742,8.157604e-20,2250.0,,,,
6257.1210938,7.56239e-20,2250.0,,,,
6257.065918,2.269814e-19,2250.0,,,,
6256.8764648,2.0449479999999998e-19,2250.0,,,,
6256.7744141,1.263713e-19,2250.0,,,,
6256.6542969,1.224982e-19,2250.0,,,,
6256.4492188,8.012095e-20,2250.0,,,,
6256.3364258,9.009961e-20,2250.0,,,,
6256.1352539,2.265375e-19,2250.0,,,,
6255.9125977,8.626806999999999e-20,2250.0,,,,
6255.527832,2.805535e-18,2250.0,,,,
6255.421875,3.2423369999999995e-19,2250.0,,,,
6255.1088867,1.0761849999999999e-19,2250.0,,,,
6255.0317383,1.0135589999999999e-19,2250.0,,,,
6254.9980469,1.153871e-19,2250.0,,,,
6254.9492188,7.052691e-20,2250.0,,,,
6254.9291992,1.0176989999999999e-19,2250.0,,,,
6254.7177734,5.548480999999999e-20,2250.0,,,,
6254.6875,8.536588999999999e-20,2250.0,,,,
6254.6650391,8.861274999999999e-20,2250.0,,,,
6254.4458008,5.762854e-19,2250.0,,,,
6254.3286133,3.262851e-19,2250.0,,,,
6254.1791992,5.982022999999999e-20,2250.0,,,,
6254.0302734,1.4854849999999998e-19,2250.0,,,,
6253.9931641,2.806042e-20,2250.0,,,,
6253.7827148,2.757661e-18,2250.0,,,,
6253.4414062,2.350998e-19,2250.0,,,,
6253.3691406,1.4718779999999998e-19,2250.0,,,,
6253.21875,3.4247179999999995e-19,2250.0,,,,
6253.1518555,1.9973719999999999e-19,2250.0,,,,
6253.0117188,1.261651e-19,2250.0,,,,
6252.7397461,3.0366069999999996e-19,2250.0,,,,
6252.3828125,5.828611e-20,2250.0,,,,
6252.2993164,9.408583999999999e-20,2250.0,,,,
6252.2373047,1.922613e-19,2250.0,,,,
6252.1674805,9.949876999999999e-20,2250.0,,,,
6251.9746094,1.4684339999999998e-19,2250.0,,,,
