wavelength_micron,normalized_flux,err_normalized_flux
2.2915122,8.524760e-01,4.660000e-03
2.2915247,8.310800e-01,5.527000e-03
2.2915371,8.303930e-01,5.097000e-03
2.2915496,8.328450e-01,5.912000e-03
2.2915620,8.536280e-01,7.412000e-03
2.2915745,8.397490e-01,8.914000e-03
2.2915870,8.544200e-01,7.728000e-03
2.2915994,8.845700e-01,8.465000e-03
2.2916119,8.808050e-01,9.885000e-03
2.2916244,9.144140e-01,7.573000e-03
2.2916368,9.357580e-01,9.989000e-03
2.2916493,9.554130e-01,7.481000e-03
2.2916618,9.849740e-01,4.451000e-03
2.2916742,9.886470e-01,6.565000e-03
2.2916867,1.013493e+00,6.995000e-03
2.2916991,1.027309e+00,5.884000e-03
2.2917116,1.024540e+00,4.622000e-03
2.2917241,1.021610e+00,6.935000e-03
2.2917365,1.032252e+00,4.955000e-03
2.2917490,1.029191e+00,4.963000e-03
2.2917614,1.020736e+00,5.023000e-03
2.2917739,1.005398e+00,6.473000e-03
2.2917864,1.006178e+00,7.421000e-03
2.2917988,9.972360e-01,5.523000e-03
2.2918113,1.012101e+00,6.909000e-03
2.2918237,1.022680e+00,8.610000e-03
2.2918362,1.023019e+00,5.526000e-03
2.2918486,1.008021e+00,6.272000e-03
2.2918611,9.953500e-01,6.001000e-03
2.2918736,9.849920e-01,5.554000e-03
2.2918860,9.759500e-01,8.969000e-03
2.2918985,9.640750e-01,7.954000e-03
2.2919109,9.531380e-01,6.783000e-03
2.2919234,9.454680e-01,5.148000e-03
2.2919358,9.111020e-01,6.698000e-03
2.2919483,8.995680e-01,4.576000e-03
2.2919608,8.848050e-01,5.558000e-03
2.2919732,8.822890e-01,6.255000e-03
2.2919857,8.722890e-01,4.506000e-03
2.2919981,8.466470e-01,5.820000e-03
2.2920106,8.487680e-01,7.523000e-03
2.2920230,8.498930e-01,7.808000e-03
2.2920355,8.705680e-01,6.366000e-03
2.2920479,8.743710e-01,7.766000e-03
2.2920604,8.559550e-01,6.091000e-03
2.2920728,8.710520e-01,5.208000e-03
2.2920853,8.832280e-01,6.321000e-03
2.2920977,9.022060e-01,6.802000e-03
2.2921102,9.131770e-01,6.937000e-03
2.2921226,9.340740e-01,7.010000e-03
2.2921351,9.524320e-01,6.879000e-03
2.2921475,9.668520e-01,5.615000e-03
2.2921600,9.620290e-01,4.326000e-03
2.2921724,9.513670e-01,7.765000e-03
2.2921849,9.735350e-01,3.545000e-03
2.2921973,9.791940e-01,7.718000e-03
2.2922098,9.954140e-01,8.874000e-03
2.2922222,9.735330e-01,9.084000e-03
2.2922347,9.677320e-01,9.883000e-03
2.2922471,9.795220e-01,8.013000e-03
2.2922596,9.930710e-01,6.519000e-03
2.2922720,9.884030e-01,5.181000e-03
2.2922845,9.979490e-01,6.225000e-03
2.2922969,1.014460e+00,7.875000e-03
2.2923094,1.004047e+00,5.486000e-03
2.2923218,1.015166e+00,7.546000e-03
2.2923343,1.005382e+00,7.760000e-03
2.2923467,1.002564e+00,6.486000e-03
2.2923591,9.957620e-01,6.861000e-03
2.2923716,9.896400e-01,9.064000e-03
2.2923840,9.987890e-01,5.048000e-03
2.2923965,9.940480e-01,1.005000e-02
2.2924089,9.634170e-01,8.810000e-03
2.2924214,9.682310e-01,1.069500e-02
2.2924338,9.653110e-01,9.044000e-03
2.2924463,9.548580e-01,6.418000e-03
2.2924587,9.461290e-01,7.254000e-03
2.2924711,9.310610e-01,1.367600e-02
2.2924836,9.233720e-01,1.066800e-02
2.2924960,9.313330e-01,1.308400e-02
2.2925085,9.322410e-01,4.794000e-03
2.2925209,9.462570e-01,6.938000e-03
2.2925333,9.458100e-01,8.170000e-03
2.2925458,9.378050e-01,8.252000e-03
2.2925582,9.429030e-01,7.593000e-03
2.2925707,9.335270e-01,1.063100e-02
2.2925831,9.588730e-01,9.329000e-03
2.2925955,9.582580e-01,6.774000e-03
2.2926080,9.828210e-01,9.936000e-03
2.2926204,9.788890e-01,7.929000e-03
2.2926329,9.932900e-01,4.917000e-03
2.2926453,9.894360e-01,8.046000e-03
2.2926577,1.011536e+00,7.483000e-03
2.2926702,1.023603e+00,7.204000e-03
2.2926826,1.041096e+00,8.009000e-03
2.2926951,1.037606e+00,7.063000e-03
2.2927075,1.046115e+00,4.357000e-03
2.2927199,1.039678e+00,7.455000e-03
2.2927324,1.046435e+00,6.191000e-03
2.2927448,1.033001e+00,8.113000e-03
2.2927572,1.044650e+00,5.804000e-03
2.2927697,1.045082e+00,5.788000e-03
2.2927821,1.041024e+00,7.756000e-03
2.2927945,1.051042e+00,7.959000e-03
2.2928070,1.054603e+00,6.260000e-03
2.2928194,1.050808e+00,6.752000e-03
2.2928318,1.064415e+00,6.824000e-03
2.2928443,1.050532e+00,6.768000e-03
2.2928567,1.052072e+00,9.338000e-03
2.2928691,1.062767e+00,5.561000e-03
2.2928816,1.061881e+00,5.224000e-03
2.2928940,1.064172e+00,6.070000e-03
2.2929064,1.058366e+00,6.526000e-03
2.2929189,1.068160e+00,5.628000e-03
2.2929313,1.066163e+00,6.173000e-03
